Title | Year | RQ1_Datasets | RQ1_Image_Count | RQ1_Class_Balance | RQ2_Preprocessing | RQ2_Augmentation | RQ3_RQ4_Seg_Scope | RQ5_RQ6_Class_Scope | RQ7_Model_Architecture | RQ7_Novelty | RQ7_Transfer_Learning | RQ8_Metrics_Used | RQ8_Best_Result | RQ8_SOTA_Compare | RQ9_Limitations | RQ10_Future_Work
Deep Learning based Model for Detection of Vitiligo Skin Disease using Pre-trained Inception V3  | 2023  | Kaggle (Zienab_esam, 2022)  | 1202  | No (Healthy: 847, Vitiligo: 355)  | N/A | N/A | N/A | Binary (Healthy Skin vs Vitiligo Skin)  | Inception V3 (Feature Extraction) + Random Forest, Naive Bayes, Decision Tree, CNN (Classifiers)  | Transfer Learning  | Yes (Inception V3)  | Accuracy, Recall, Precision, AUC, F1-score, ROC  | ACC: 99.9%, AUC: 1.00 (Inception V3 + Random Forest)  | Yes  | Dataset limitation (size) implies need for more extensive primary research  | Expand dataset with augmentation; conduct extensive primary research  | 6
A GAN-Based Data Augmentation Method for Imbalanced Multi-Class Skin Lesion Classification | 2024 | HAM10000 | 10,015 (Base) + 18,500 (Synthetic) | No (Imbalanced) | Center-crop (450x450), Resize (256x256) | Geometric, Color (TDA), Test-Time Augmentation (TTA), GAN-based synthesis | N/A | Multi-class (MEL, NV, BCC, AKIEC, BKL, DF, VASC) | STGAN (Generator), ResNet50 (Classifier) | New Architecture (STGAN), Transfer Learning | Yes [ImageNet] | FID, Inception Score, Precision, Recall (GAN); Accuracy, Sensitivity, Precision, F1-score, Specificity (Classification) | ACC: 98.23%, F1: 89.48% | Yes | Generated images retain natural artifacts (hair, veins) from original data, potentially affecting performance | Use image inpainting to remove artifacts before GAN training | 9
MAGRes-UNet: Improved Medical Image Segmentation Through a Deep Learning Paradigm of Multi-Attention Gated Residual U-Net | 2024 | HAM10000 | 10015 | N/A | Resizing (implied for U-Net) | N/A | Lesion Boundary | N/A | MAGRes-UNet (Residual U-Net + Multi-Attention Gates + Mish Activation) | New Architecture | No | Dice, Accuracy | Significant improvement over U-Net, MAG-UNet, ResUNet | Yes | N/A | N/A | 8
A comparative study of deep learning architectures on melanoma detection | 2019 | ISIC 2018 (HAM10000) | 10,015 | No (Imbalanced); Balanced via Oversampling/Augmentation | Illumination correction (Shades-of-Grey, Quadratic function), Contrast enhancement, Color space transformation (RGB to HSV), Resizing, Normalization, Standardization | Horizontal/Vertical flips, Random contrast, Random brightness | N/A | Multi-class (Melanoma, Melanocytic nevus, Basal cell carcinoma, Actinic keratosis, Benign keratosis, Dermatofibroma, Vascular lesion) | ResNet50, AlexNet, VGGNet16, VGGNet19, Xception | Standard Architectures (Comparative Study) | Yes [ImageNet] | Specificity, Sensitivity, Accuracy, F-measure, Precision, ROC/AUC | ACC: 92.08%, F-Score: 92.74% (ResNet50 with augmentation) | Yes | Imbalanced classes, image quality limitations (noise, shadows, artifacts) | Boost accuracy using deep learning-based ensemble models | 9
A comprehensive review on federated learning based models for healthcare applications | 2023 | HAM10000, Skin Cancer Dataset, CSPC (Prostate)  | HAM10000 (Large, unspecified count)  | Imbalanced (CSPC); HAM10000 described as not requiring augmentation (likely error)  | Normalization, Downsampling  | Flipping, Random non-rigid deformation (Wicaksana)  | N/A | Multi-class (Skin Lesion/Cancer)  | ResNet18, CNN  | Federated Learning (CusFL, FedPxN)  | Yes (ResNet18)  | Accuracy, AUROC, Loss  | AUROC: 70.08% (FedPxN on Skin Cancer)  | Yes  | Non-IID data distribution, model scalability, small datasets, data leakage, limited augmentation  | Explore FTL/VFL, larger datasets, more augmentation techniques  | 4
A Comprehensive Systematic Review of YOLO for Medical Object Detection (2018 to 2023) | 2024 | Public (LUNA16, DDSM, INbreast, TCIA, COCO, MAFA) and Private (e.g., Vitiligo, Gallstone, Gastroscopy)  | Varies significantly by study (e.g., 223,846 Gallstone CTs, 2,000 COVID X-rays, 410 Mammograms)  | Imbalanced (Identified as a major challenge and limitation in medical datasets)  | Preprocessing DICOM to images, Resizing (implied by YOLO architecture)  | Mosaic data augmentation (YOLOv4), Standard augmentations (implied by YOLO frameworks), Transfer Learning pre-training  | Both (Primary focus on Object Detection; Segmentation mentioned for organs/lesions via YOLO-LOGO/Panoptic YOLO)  | Both (Binary: Benign/Malignant, Polyp/No Polyp; Multi-class: Lesion types, Surgical tools, Face masks)  | YOLOv1-v8, YOLO-NAS, PP-YOLO, YOLOR, YOLOX (Backbones: Darknet, ResNet, EfficientRep)  | Review of Standard and Novel Variants (e.g., YOLO-LOGO, SMD-YOLO, YOLO-CIR)  | Yes [ImageNet, COCO] | mAP, Accuracy, Precision, Recall, F1-score, Sensitivity, Specificity, IoU, FPS  | Accuracy: 99.1% (Breast Cancer); mAP: 96.22% (Colorectal Polyp)  | Yes (Comparisons with Faster R-CNN, SSD, RetinaNet)  | Sensitivity to object scale (small objects), occlusion, large dataset requirement, class imbalance, computational cost, data privacy  | Develop healthcare-specific YOLO variants; integrate with Reinforcement Learning/Transfer Learning; improve small object detection; use LLMs  | 10
A deep learning outline aimed at prompt skin cancer detection utilizing gated recurrent unit networks and improved orca predation algorithm | 2024 | HAM10000 | 10,015 | Balanced via Random Oversampling (ROS) | Median filtering, Resizing, Random Oversampling (ROS) | Random Oversampling (ROS) | N/A | Multi-class (Melanoma, BCC, AKIEC, Dermatofibroma, Vascular lesions, Benign keratosis-like, Melanocytic nevi) | Gated Recurrent Unit (GRU) Network (Optimized by IOPA) | Improved Orca Predation Algorithm (IOPA) for hyperparameter optimization; Pure GRU approach | No | Sensitivity, Specificity, PPV, NPV, Accuracy | Accuracy: 99%, Sensitivity: 0.95 | Yes | Model interpretability (black box), high computational cost, need for large annotated datasets, generalization to diverse populations | Validate on larger/diverse datasets; optimize clinical feasibility; address ethical and privacy concerns | 9
A GAN-based image synthesis method for skin lesion classification  | 2020  | ISIC 2018 (HAM10000)  | 10,015  | No (Imbalanced)  | Normalization, Resizing  | GAN-based data augmentation (SL-StyleGAN)  | N/A  | Multi-class (AKIEC, BCC, BKL, DF, MEL, NV, VASC)  | ResNet50  | New Architecture (SL-StyleGAN for synthesis), Transfer Learning (for classification)  | Yes [ImageNet]  | Accuracy, Sensitivity, Specificity, Precision, Average Precision (AP), Balanced Multiclass Accuracy (BMA)  | ACC: 95.2%, BMA: 83.2%  | Yes  | Synthetic images lack diversity (low recall/mode monotony); limited improvement for some classes  | Improve diversity of synthetic images; optimize feature extraction; determine optimal amount of supplementary data  | 10
A hybrid deep learning skin cancer prediction framework | 2024 | Generalized Skin Cancer Dataset (Combined: ISIC-2019, 7-point, PH2, DermIS, Dermquest, MED-NODE, SKINL2)  | 27,108  | No (Imbalanced); Balanced via SMOTE and Augmentation  | Hair removal (Morphological operations), Resizing (224x224), Intensity Normalization, Contrast enhancement  | Rotation, cropping, mirroring, shifting, zooming, flipping  | Lesion Boundary (Otsu's thresholding)  | Multi-class (MEL, NV, BCC, AK, BKL, DF, VASC, SCC, UNK)  | Xception (optimized with Artificial Bee Colony), DenseNet121, EfficientNetB0, InceptionResNetV2, MobileNetV2, ResNet50, ResNet152V2, VGG16  | Hybrid framework utilizing Artificial Bee Colony (ABC) for weight optimization and a generalized dataset  | Yes  | Accuracy, Recall, Precision, F1-score, AUC, ROC  | ACC: 93.04%, F1: 93.12%, AUC: >98% (Xception + ABC)  | Yes  | Reliance on internet access for cloud training; computational cost of optimization; general limitations of DL parameter initialization  | Evaluate on different datasets/applications; apply optimization to ensemble learning methods (e.g., ensemble transformer encoder)  | 10
A Non-Invasive Interpretable Diagnosis of Melanoma Skin Cancer Using Deep Learning and Ensemble Stacking of Machine Learning Models  | 2022  | ISIC 2018 (Miniature balanced version)  | 3,297  | Yes (Balanced: 1440 Benign, 1197 Malignant in training)  | Rescaling, Normalization, Shuffling  | Rotation, Shear, Zoom, Horizontal/Vertical Flip  | N/A | Binary (Malignant vs. Benign)  | MobileNet, Xception, ResNet50, ResNet50V2, DenseNet121 (DL); Logistic Regression, SVM, RF, KNN, GBM (ML Stacking)  | Ensemble Stacking, Interpretability (SHAP)  | Yes [ImageNet]  | Accuracy, F1-score, Cohen's Kappa, Confusion Matrix, ROC/AUC  | ACC: 92.0%, AUC: 0.97 (Ensemble of 3 best DL models)  | Yes  | Small dataset size; images contain occlusions like hair or rulers  | Combine ML and DL approaches; efficient data purification to remove occlusions  | 9
